Algorithm,Input Size,Case,Last 15 Elements
Original,10000,Best,"[9985, 9986, 9987, 9988, 9989, 9990, 9991, 9992, 9993, 9994, 9995, 9996, 9997, 9998, 9999]"
Internal Merge Sort,10000,Best,"[9985, 9986, 9987, 9988, 9989, 9990, 9991, 9992, 9993, 9994, 9995, 9996, 9997, 9998, 9999]"
External Merge Sort,10000,Best,"[9985, 9986, 9987, 9988, 9989, 9990, 9991, 9992, 9993, 9994, 9995, 9996, 9997, 9998, 9999]"
Original,10000,Average,"[8188, 8024, 6137, 3481, 6533, 2590, 3586, 7337, 7162, 4150, 3022, 8711, 3274, 1486, 5524]"
Internal Merge Sort,10000,Average,"[9985, 9986, 9987, 9988, 9989, 9990, 9991, 9992, 9993, 9994, 9995, 9996, 9997, 9998, 9999]"
External Merge Sort,10000,Average,"[9985, 9986, 9987, 9988, 9989, 9990, 9991, 9992, 9993, 9994, 9995, 9996, 9997, 9998, 9999]"
Original,10000,Worst,"[15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]"
Internal Merge Sort,10000,Worst,"[9986, 9987, 9988, 9989, 9990, 9991, 9992, 9993, 9994, 9995, 9996, 9997, 9998, 9999, 10000]"
External Merge Sort,10000,Worst,"[9986, 9987, 9988, 9989, 9990, 9991, 9992, 9993, 9994, 9995, 9996, 9997, 9998, 9999, 10000]"
Original,50000,Best,"[49985, 49986, 49987, 49988, 49989, 49990, 49991, 49992, 49993, 49994, 49995, 49996, 49997, 49998, 49999]"
Internal Merge Sort,50000,Best,"[49985, 49986, 49987, 49988, 49989, 49990, 49991, 49992, 49993, 49994, 49995, 49996, 49997, 49998, 49999]"
External Merge Sort,50000,Best,"[49985, 49986, 49987, 49988, 49989, 49990, 49991, 49992, 49993, 49994, 49995, 49996, 49997, 49998, 49999]"
Original,50000,Average,"[38755, 40039, 5852, 49286, 18787, 19005, 5195, 40298, 35129, 10547, 37775, 6664, 10420, 37915, 31190]"
Internal Merge Sort,50000,Average,"[49985, 49986, 49987, 49988, 49989, 49990, 49991, 49992, 49993, 49994, 49995, 49996, 49997, 49998, 49999]"
External Merge Sort,50000,Average,"[49985, 49986, 49987, 49988, 49989, 49990, 49991, 49992, 49993, 49994, 49995, 49996, 49997, 49998, 49999]"
Original,50000,Worst,"[15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]"
Internal Merge Sort,50000,Worst,"[49986, 49987, 49988, 49989, 49990, 49991, 49992, 49993, 49994, 49995, 49996, 49997, 49998, 49999, 50000]"
External Merge Sort,50000,Worst,"[49986, 49987, 49988, 49989, 49990, 49991, 49992, 49993, 49994, 49995, 49996, 49997, 49998, 49999, 50000]"
Original,100000,Best,"[99985, 99986, 99987, 99988, 99989, 99990, 99991, 99992, 99993, 99994, 99995, 99996, 99997, 99998, 99999]"
Internal Merge Sort,100000,Best,"[99985, 99986, 99987, 99988, 99989, 99990, 99991, 99992, 99993, 99994, 99995, 99996, 99997, 99998, 99999]"
External Merge Sort,100000,Best,"[99985, 99986, 99987, 99988, 99989, 99990, 99991, 99992, 99993, 99994, 99995, 99996, 99997, 99998, 99999]"
Original,100000,Average,"[87352, 1317, 91098, 10386, 19458, 62087, 68595, 414, 52811, 1856, 68254, 74669, 32288, 2749, 80735]"
Internal Merge Sort,100000,Average,"[99985, 99986, 99987, 99988, 99989, 99990, 99991, 99992, 99993, 99994, 99995, 99996, 99997, 99998, 99999]"
External Merge Sort,100000,Average,"[99985, 99986, 99987, 99988, 99989, 99990, 99991, 99992, 99993, 99994, 99995, 99996, 99997, 99998, 99999]"
Original,100000,Worst,"[15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]"
Internal Merge Sort,100000,Worst,"[99986, 99987, 99988, 99989, 99990, 99991, 99992, 99993, 99994, 99995, 99996, 99997, 99998, 99999, 100000]"
External Merge Sort,100000,Worst,"[99986, 99987, 99988, 99989, 99990, 99991, 99992, 99993, 99994, 99995, 99996, 99997, 99998, 99999, 100000]"
